split,case_type,count
calibration,invalid_images,6
validation,invalid_images,3
test,invalid_images,1
calibration,one_wrong_image,12
validation,one_wrong_image,5
test,one_wrong_image,3
calibration,same_color_different_model,6
validation,same_color_different_model,3
test,same_color_different_model,1
calibration,same_garment_type_different_color,6
validation,same_garment_type_different_color,2
test,same_garment_type_different_color,1
calibration,same_product_closeups,14
validation,same_product_closeups,6
test,same_product_closeups,4
calibration,same_product_hard_conditions,9
validation,same_product_hard_conditions,4
test,same_product_hard_conditions,2
calibration,same_product_normal,18
validation,same_product_normal,8
test,same_product_normal,4
